tweet,sentiment_label
b'Wow, @ProSieben bringt \xe2\x80\x9eThe Big Bang Theory\xe2\x80\x9c ab der ersten Folge \xf0\x9f\x98\xb3',Positive
b'"I bet you watch that Big Bang Theory program, that Sheldon is something else" someone please help me',Negative
b'Retail therapy when you\xe2\x80\x99re living with a #chronicillness is going out and getting steroids and new jammies (but the\xe2\x80\xa6 https://t.co/7i4D3CQo2q',Positive
b'After 14 hours of The Big Bang Theory, McFuckface appears to be fine. Perhaps he just has exceptionally poor taste\xe2\x80\xa6 https://t.co/EBfZh7v89t',Positive
b'I would like to call this outfit : The Big Bang Theory. The solar system and dinosaurs totally go together this is\xe2\x80\xa6 https://t.co/W1utJfsNOR',Negative
b'@innuovo @albertoplaza Ese si es un buen chiste, tipo The Big Bang Theory',Negative
b'RT @SaraJChipps: Big Bang Theory is over? THANK GOD. What a flaming pile of garbage. Science isn\xe2\x80\x99t for \xe2\x80\x9cnerds\xe2\x80\x9d. Taking care of yourself, yo\xe2\x80\xa6',Negative
b'Big Bang Theory \xe6\x9c\x80\xe7\xb5\x82\xe3\x82\xb7\xe3\x83\xbc\xe3\x82\xba\xe3\x83\xb3\xe3\x82\x92\xe6\xaf\x8e\xe6\x97\xa5\xe9\x91\x91\xe8\xb3\x9e\xe4\xb8\xad\xe3\x80\x82\xe3\x82\xa8\xe3\x83\x94\xe3\x82\xbd\xe3\x83\xbc\xe3\x83\x8910\xe3\x81\xa7\xe3\x83\x8f\xe3\x83\xaf\xe3\x83\xbc\xe3\x83\x89\xe3\x81\x8c\xe8\x87\xaa\xe5\xae\x85\xe3\x83\xaa\xe3\x83\x93\xe3\x83\xb3\xe3\x82\xb0\xe3\x81\xa7\xe6\x89\x8b\xe5\x93\x81\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xbc\xe3\x82\x92\xe6\x8a\xab\xe9\x9c\xb2\xe3\x81\x99\xe3\x82\x8b\xe6\x99\x82\xe3\x81\xae\xe7\x99\xbb\xe5\xa0\xb4\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\x8cPippin\xe3\x81\xaeMagic to do \xe3\x81\xa7\xe6\x9c\x80\xe9\xab\x98\xe9\x81\x8e\xe3\x81\x8e\xe3\x82\x8bw',Negative
b"#TheBIgBangTheory: il nostro specialeper l'ultima stagione! #TBBT https://t.co/MDQ7l3c5q3",Negative
b'RT @T33J4Y: no i dont watch big bang theory https://t.co/IEVeXUGJGV',Negative
b'@All_Screens El de Gotham parece m\xc3\xa1s un fan made qu\xc3\xa9 otra cosa con un gui\xc3\xb3n bastante rid\xc3\xadculo y los trajes e visto\xe2\x80\xa6 https://t.co/UF0ruPKq1e',Negative
b'The Big Bang Theory #BBT: When you look at the massive #Galaxies and all the #Stars, then you realize that God crea\xe2\x80\xa6 https://t.co/kJUsbPb7mZ',Negative
b'RT @tbbtsite: "The Stockholm Syndrome" vs. "The Change Constant" in the final round of our #BigBangTheory Season 12 episode tournament: htt\xe2\x80\xa6',Negative
b'RT @tbbtsite: "The Stockholm Syndrome" vs. "The Change Constant" in the final round of our #BigBangTheory Season 12 episode tournament: htt\xe2\x80\xa6',Negative
b'Big Bang theory marathon. #ill',Negative
b'@TravestyinUSA @BetteMidler It\xe2\x80\x99s an argument that could go on forever. Evolution/ Big Bang theory vs a mighty god.\xe2\x80\xa6 https://t.co/2WIhVo5ERW',Positive
b'@ErnestBadise @El_Chapo_Guzma @sbongag9 @DStv \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 and I was still enjoying the big bang theory on comedy central,a\xe2\x80\xa6 https://t.co/ahO4LDzaHF',Positive
b'Su JOI l\xe2\x80\x99addio alle scende della Serie TV \xe2\x80\x9cThe Big Bang Theory\xe2\x80\x9d #joi #thebigbangtheory https://t.co/kocdCdahp8',Negative
b"I enjoy TV show #StrangeAngel b/c it's less alienating than portrayals of modern tech culture. (Big Bang Theory's u\xe2\x80\xa6 https://t.co/koUUVALHHq",Positive
b'@__thxmas__ Early family guy was but recent family guy is shit because even Seth doesn\xe2\x80\x99t want to do it anymore. Big\xe2\x80\xa6 https://t.co/kfUzmrtNeW',Negative
b'The A team is ahead, @CyrilRamaphosa is #President and his people have been moving into place, the positive effect\xe2\x80\xa6 https://t.co/RXbYZadMUb',Positive
b'"The Stockholm Syndrome" vs. "The Change Constant" in the final round of our #BigBangTheory Season 12 episode tourn\xe2\x80\xa6 https://t.co/NEzVy3QQ5N',Negative
b'Big Bang Theory - Mens Bazinga Superhero Logo T-shirt X-Large Red OG Exclusive | https://t.co/ZD6AQHBnc1 | #geekyshirtsdepot',Negative
b'The A team is ahead, @CyrilRamaphosa is President and his people have been moving into place, the positive effect o\xe2\x80\xa6 https://t.co/3pTOpqzotF',Positive
b'@gabiefernandes The big bang theory!!',Negative
b"RT @UberFacts: The cast of 'The Big Bang Theory' then and now: https://t.co/DRSxVvNAdw",Negative
b'no i dont watch big bang theory https://t.co/IEVeXUGJGV',Negative
b'\xe3\x80\x90\xe6\xb5\xb7\xe5\xa4\x96\xe3\x83\x89\xe3\x83\xa9\xe3\x83\x9e\xe3\x81\xa7\xe8\x8b\xb1\xe4\xbc\x9a\xe8\xa9\xb1\xe3\x80\x91\nmake yourself at home\n\xe3\x80\x8c\xe3\x81\x8f\xe3\x81\xa4\xe3\x82\x8d\xe3\x81\x84\xe3\x81\xa7\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84\xe3\x80\x8d\n[the Big Bang theory season1ep1(3)]\n\xe8\xa9\xb3\xe3\x81\x97\xe3\x81\x8f\xe3\x81\xaf\xe2\x86\x92https://t.co/HwSokHsAQn',Negative
b'@TSIOKWARIS @BilodeauMeg @DavidKaufman2 Nice Big Bang Theory reference',Positive
b'RT @NRJ12lachaine: \xf0\x9f\xa4\xa3 Quand ton pote est plus susceptible que la susceptibilit\xc3\xa9 !\n\xf0\x9f\x91\x89 "The Big Bang Theory" c\'est du lundi au vendredi \xc3\xa0 20h s\xe2\x80\xa6',Negative
b'@waplow Watch Big Bang theory. Sheldon does something similar.',Negative
b'RT @WeAreMel: Happy Friday! @BVHooker tried to bully a plant to death, calling it Asshole McFuckface and subjecting it to hours of The Big\xe2\x80\xa6',Positive
b'Happy Friday! @BVHooker tried to bully a plant to death, calling it Asshole McFuckface and subjecting it to hours o\xe2\x80\xa6 https://t.co/79Wy08hNis',Positive
b'@viIanelIe Um every episode of the Big Bang theory is funnier than one seasoned the office',Positive
b'RT @Buttandbutter: Big bang theory&gt;&gt;&gt;&gt;&gt;&gt; HIMYM.',Negative
b'I have a big bang theory https://t.co/0szYthy6bQ',Negative
b'The Big Bang Theory time!! Habol habol kay boyfie na nasa Season 4 na kay sige na ang isturya hahaha',Positive
b'Akala ko talaga madali physics. Big Bang Theory made it so easy and interesting #BigBangTheory',Positive
b'\xf0\x9f\xa4\xa3 Quand ton pote est plus susceptible que la susceptibilit\xc3\xa9 !\n\xf0\x9f\x91\x89 "The Big Bang Theory" c\'est du lundi au vendredi \xc3\xa0\xe2\x80\xa6 https://t.co/r9Dh2O1K9S',Negative
b'I have never watched Game of Thrones or Breaking Bad. I don\xe2\x80\x99t like The Big Bang Theory nor did I ever watch How I M\xe2\x80\xa6 https://t.co/UMaeeXDZkL',Negative
b'@bresciia bobo inteligente = piada big bang theory',Negative
b'@esque99 Haha it\xe2\x80\x99s a Big Bang theory reference',Positive
b'@JustDubyaTings Not sure but most probably yes, theres 5 seasons tagreeban.\nSuits is good too.\nThe big bang theory\xe2\x80\xa6 https://t.co/zU6TbbDe5i',Positive
b'@ahmedaua @aaramz Great things happen in a blink of an eye. \nHave you heard of Big Bang theory?',Positive
b'@yllwgirl big bang theory',Negative
b'RT @Ms_FaithM: No matter how many times I watch the Big Bang Theory, I never get bored of it',Negative
b'This is the entire series of The Big Bang Theory https://t.co/TyWDvbT00U',Negative
b'Big Bang theory man ta atong gitabian stem 5 ngano naabot man tag maoy2? HAHAHAHAHAHAHA',Negative
b'@Iamsunflow3r @augustohenriq_b \xc3\xa9 de que cidade? estou interessada no do big bang theory',Negative
b'@loushanghai big bang theory',Negative
b'De toverstaf van Harry Potter, een bobble head van Bill Idol, een T-shirt van Mickey Mouse, een Monopoly van The Bi\xe2\x80\xa6 https://t.co/I8vs7Bpfiv',Negative
b'RT @gaaabgon: por que Big Bang Theory n\xc3\xa3o \xc3\xa9 uma simples sitcom a thread \xe2\x9a\x9b\xef\xb8\x8f https://t.co/Bx3NpXUpDL',Negative
b'It may be known to some who watch The Big Bang Theory that a group of cats is called a clowder (Thanks Sheldon) but\xe2\x80\xa6 https://t.co/oZDXIOdGIz',Positive
b'@PROJECT_ODIN_ @kaoki16 @Vertele Pos yo tengo suscripci\xc3\xb3n a Amazon Prime...\nSolo usaba el Prime Video para ver The\xe2\x80\xa6 https://t.co/qOchMTHHyk',Negative
b'\xc3\x9eekki f\xc3\xb3lk sem horfir ekki \xc3\xa1 bandar\xc3\xadska Office \xc3\xbat af \xc3\xbev\xc3\xad a\xc3\xb0 \xc3\xbeeim finnst breska \xc3\xbatg\xc3\xa1fan betri. Sama f\xc3\xb3lk horfir samt\xe2\x80\xa6 https://t.co/GIvR75Vokk',Negative
b'Refutation of the "Big Bang Theory" and the Mathematical Witch-craft \n\nSpeaker: Ustaadh Abu Iyaad Amjad Rafiq (Hafi\xe2\x80\xa6 https://t.co/cQUj7AWCk0',Negative
b'No matter how many times I watch the Big Bang Theory, I never get bored of it',Negative
b"RT @Showbiz_IT: The Big Bang Theory fans can now tour the show's set at Warner Bros. Studio\nhttps://t.co/ugiYFDrSbP https://t.co/m5bOjGXpVR",Negative
b"RT @Showbiz_IT: The Big Bang Theory fans can now tour the show's set at Warner Bros. Studio\nhttps://t.co/ugiYFDrSbP https://t.co/m5bOjGXpVR",Negative
b"\xe7\x9e\xac\xe8\xbc\x94(Syunsuke)\xe3\x81\xae\xe3\x83\x8b\xe3\x83\xa5\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xb3\xe3\x82\xb0\xe3\x83\xab\xe3\x80\x8cSpider's Thread feat Row\xe3\x80\x8d\xe5\xbc\xb7\xe5\x8a\x9b\xe3\x81\xaafeat\xe3\x82\xa2\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa3\xe3\x82\xb9\xe3\x83\x88\xe3\x81\xabBIG BANG THEORY\xe3\x81\xae\xe3\x83\x9c\xe3\x83\xbc\xe3\x82\xab\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\x88Row\xe3\x82\x92\xe8\xbf\x8e\xe3\x81\x88\xe7\xb9\x8a\xe7\xb4\xb0\xe3\x81\x8b\xe3\x81\xa4\xe3\x83\x86\xe3\x82\xaf\xe3\x83\x8b\xe3\x82\xab\xe3\x83\xab\xe3\x81\xaa\xe6\xa5\xb5\xe4\xb8\x8a\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xa2\xe3\x83\x8b\xe3\x83\xbc\xe3\x82\x92\xe3\x81\x8a\xe5\xb1\x8a\xe3\x81\x91\xef\xbc\x81https://t.co/Wtb1iiRK1l",Negative
b'Big Bang Theory Penny to Sheldon, \xe2\x80\x9cYou went to see the movie It because you thought it was about scary IT guys.\xe2\x80\x9d ~\xe2\x80\xa6 https://t.co/8q0UgArKgD',Negative
b"@ProgressVoice That's why the big bang theory is for pussys",Negative
b'Ya termin\xc3\xa9 the big bang theory, no se que mas hacer con mi vida \xf0\x9f\x98\x94',Negative
b'The Big Bang Theory #TBBT - RT couple for Sheldon&amp;Amy / #Shamy fans here -&gt;&gt;\n https://t.co/mdDbuOUcKP',Negative
b'RT @thedelitesite: What The Cast Of \xe2\x80\x98The Big Bang Theory\xe2\x80\x99 Looks Like In Real Life',Positive
b'Big bang theory gracias por existir',Negative
b'Amo The Big Bang Theory',Negative
b"@Subtitulamostv @barenakedladies perform 'The Big Bang Theory Theme' https://t.co/WyGrPXTLsW v\xc3\xada @YouTube\xe2\x80\xa6 https://t.co/UWiBTUSnaJ",Negative
